Index coax_placement_x  coax_placement_y  substrate_permittivity
    0 -2.0000000000E+00 +5.0000000000E+00 +2.9000000000E+00     
    1 -2.0000000000E+00 +5.6666666667E+00 +2.9000000000E+00     
    2 -2.0000000000E+00 +6.3333333333E+00 +2.9000000000E+00     
    3 -2.0000000000E+00 +7.0000000000E+00 +2.9000000000E+00     
    4 -2.0000000000E+00 +7.6666666667E+00 +2.9000000000E+00     
    5 -2.0000000000E+00 +8.3333333333E+00 +2.9000000000E+00     
    6 -2.0000000000E+00 +9.0000000000E+00 +2.9000000000E+00     
    7 -1.3333333333E+00 +5.0000000000E+00 +2.9000000000E+00     
    8 -1.3333333333E+00 +5.6666666667E+00 +2.9000000000E+00     
    9 -1.3333333333E+00 +6.3333333333E+00 +2.9000000000E+00     
   10 -1.3333333333E+00 +7.0000000000E+00 +2.9000000000E+00     
   11 -1.3333333333E+00 +7.6666666667E+00 +2.9000000000E+00     
   12 -1.3333333333E+00 +8.3333333333E+00 +2.9000000000E+00     
   13 -1.3333333333E+00 +9.0000000000E+00 +2.9000000000E+00     
   14 -6.6666666667E-01 +5.0000000000E+00 +2.9000000000E+00     
   15 -6.6666666667E-01 +5.6666666667E+00 +2.9000000000E+00     
   16 -6.6666666667E-01 +6.3333333333E+00 +2.9000000000E+00     
   17 -6.6666666667E-01 +7.0000000000E+00 +2.9000000000E+00     
   18 -6.6666666667E-01 +7.6666666667E+00 +2.9000000000E+00     
   19 -6.6666666667E-01 +8.3333333333E+00 +2.9000000000E+00     
   20 -6.6666666667E-01 +9.0000000000E+00 +2.9000000000E+00     
   21 +0.0000000000E+00 +5.0000000000E+00 +2.9000000000E+00     
   22 +0.0000000000E+00 +5.6666666667E+00 +2.9000000000E+00     
   23 +0.0000000000E+00 +6.3333333333E+00 +2.9000000000E+00     
   24 +0.0000000000E+00 +7.0000000000E+00 +2.9000000000E+00     
   25 +0.0000000000E+00 +7.6666666667E+00 +2.9000000000E+00     
   26 +0.0000000000E+00 +8.3333333333E+00 +2.9000000000E+00     
   27 +0.0000000000E+00 +9.0000000000E+00 +2.9000000000E+00     
   28 +6.6666666667E-01 +5.0000000000E+00 +2.9000000000E+00     
   29 +6.6666666667E-01 +5.6666666667E+00 +2.9000000000E+00     
   30 +6.6666666667E-01 +6.3333333333E+00 +2.9000000000E+00     
   31 +6.6666666667E-01 +7.0000000000E+00 +2.9000000000E+00     
   32 +6.6666666667E-01 +7.6666666667E+00 +2.9000000000E+00     
   33 +6.6666666667E-01 +8.3333333333E+00 +2.9000000000E+00     
   34 +6.6666666667E-01 +9.0000000000E+00 +2.9000000000E+00     
   35 +1.3333333333E+00 +5.0000000000E+00 +2.9000000000E+00     
   36 +1.3333333333E+00 +5.6666666667E+00 +2.9000000000E+00     
   37 +1.3333333333E+00 +6.3333333333E+00 +2.9000000000E+00     
   38 +1.3333333333E+00 +7.0000000000E+00 +2.9000000000E+00     
   39 +1.3333333333E+00 +7.6666666667E+00 +2.9000000000E+00     
   40 +1.3333333333E+00 +8.3333333333E+00 +2.9000000000E+00     
   41 +1.3333333333E+00 +9.0000000000E+00 +2.9000000000E+00     
   42 +2.0000000000E+00 +5.0000000000E+00 +2.9000000000E+00     
   43 +2.0000000000E+00 +5.6666666667E+00 +2.9000000000E+00     
