Index eps_r             loss_t           
    0 -4.7805493650E-01 +2.3204502197E-01
    1 +1.1189320814E+00 +1.6017424835E-01
    2 +1.2463871149E+00 +4.3034200554E-02
    3 +9.9182477922E-01 +2.6680607933E-01
    4 +6.9860542673E-01 +3.3738632853E-01
    5 +1.3498085284E+00 +1.8899540864E-03
    6 +2.4462720175E-01 +3.0795093507E-01
    7 +1.3124530699E+00 +3.9511337915E-01
    8 +5.6093931140E-01 +2.4213216659E-01
    9 -1.1705873210E-02 +5.8411390013E-02
   10 +5.9291857177E-01 +2.9479222016E-01
   11 +6.4076359169E-01 +3.3314368125E-01
   12 -2.6625329557E-01 +1.0367400792E-01
   13 +1.3110813333E+00 +4.2599871908E-02
   14 +8.3461099452E-01 +3.1380039353E-01
   15 +8.7292483169E-01 +1.8536235776E-01
   16 -1.9935127766E-01 +3.7655020302E-01
   17 +1.1029835426E+00 +1.9964398063E-01
   18 +7.6280225386E-01 +3.0078674831E-02
   19 -2.5834056424E-01 +2.7381258767E-02
   20 +1.1325885309E+00 +2.8902399216E-02
   21 +1.0179407015E-01 +3.1668754489E-01
   22 -4.8033876443E-01 +3.9749210584E-01
   23 +1.4580516003E+00 +3.6903752204E-01
   24 +1.4295324110E+00 +3.4082847228E-01
   25 -4.3119371655E-01 +3.2486909419E-01
   26 +9.2549337122E-01 +3.9496678292E-02
   27 -4.6928534746E-01 +1.8120242718E-01
   28 -2.7853472313E-01 +2.3567934672E-01
   29 -1.7876664790E-01 +3.8635941817E-01
   30 +4.0992897484E-01 +2.0772758304E-02
   31 +5.3395664533E-01 +2.7212831184E-01
   32 -3.1071868785E-01 +6.8226776924E-02
   33 +9.1573803283E-01 +3.8795966424E-01
   34 +7.4831401371E-01 +6.4622538489E-02
   35 -4.0109645762E-01 +1.4983264986E-01
   36 +1.4071765842E+00 +4.5987531068E-02
   37 +1.1665682689E+00 +3.0381380875E-01
   38 -1.0779381001E-01 +1.0250908180E-01
   39 -4.3403248017E-01 +3.7037238752E-01
   40 +1.3513314152E+00 +1.2967251672E-01
   41 -1.7283973173E-01 +2.1505436376E-01
   42 +8.0373359440E-01 +9.4865643057E-02
   43 -5.9684018937E-02 +3.4187713533E-01
   44 +1.0501784218E+00 +3.7992836757E-01
   45 +3.0402928057E-01 +1.4694692389E-01
   46 +1.4218952983E+00 +3.5180086885E-01
   47 +9.2331617534E-01 +2.2446371266E-02
   48 +1.3157625059E+00 +1.2807000944E-01
   49 -3.2469593020E-01 +4.4039626331E-02
   50 +9.5003441023E-01 +3.4593045622E-01
   51 +1.3323846443E+00 +4.5651574585E-02
   52 +7.1888835110E-02 +3.6128589907E-01
   53 -3.5359988102E-01 +1.7517611028E-02
