Index eps_r             loss_t           
    0 -5.0000000000E-01 +2.0000000000E-01
    1 -4.7979797980E-01 +2.0000000000E-01
    2 -4.5959595960E-01 +2.0000000000E-01
    3 -4.3939393939E-01 +2.0000000000E-01
    4 -4.1919191919E-01 +2.0000000000E-01
    5 -3.9898989899E-01 +2.0000000000E-01
    6 -3.7878787879E-01 +2.0000000000E-01
    7 -3.5858585859E-01 +2.0000000000E-01
    8 -3.3838383838E-01 +2.0000000000E-01
    9 -3.1818181818E-01 +2.0000000000E-01
   10 -2.9797979798E-01 +2.0000000000E-01
   11 -2.7777777778E-01 +2.0000000000E-01
   12 -2.5757575758E-01 +2.0000000000E-01
   13 -2.3737373737E-01 +2.0000000000E-01
   14 -2.1717171717E-01 +2.0000000000E-01
   15 -1.9696969697E-01 +2.0000000000E-01
   16 -1.7676767677E-01 +2.0000000000E-01
   17 -1.5656565657E-01 +2.0000000000E-01
   18 -1.3636363636E-01 +2.0000000000E-01
   19 -1.1616161616E-01 +2.0000000000E-01
   20 -9.5959595960E-02 +2.0000000000E-01
   21 -7.5757575758E-02 +2.0000000000E-01
   22 -5.5555555556E-02 +2.0000000000E-01
   23 -3.5353535354E-02 +2.0000000000E-01
   24 -1.5151515152E-02 +2.0000000000E-01
   25 +5.0505050505E-03 +2.0000000000E-01
   26 +2.5252525253E-02 +2.0000000000E-01
   27 +4.5454545455E-02 +2.0000000000E-01
   28 +6.5656565657E-02 +2.0000000000E-01
   29 +8.5858585859E-02 +2.0000000000E-01
   30 +1.0606060606E-01 +2.0000000000E-01
   31 +1.2626262626E-01 +2.0000000000E-01
   32 +1.4646464646E-01 +2.0000000000E-01
   33 +1.6666666667E-01 +2.0000000000E-01
   34 +1.8686868687E-01 +2.0000000000E-01
   35 +2.0707070707E-01 +2.0000000000E-01
   36 +2.2727272727E-01 +2.0000000000E-01
   37 +2.4747474747E-01 +2.0000000000E-01
   38 +2.6767676768E-01 +2.0000000000E-01
   39 +2.8787878788E-01 +2.0000000000E-01
   40 +3.0808080808E-01 +2.0000000000E-01
   41 +3.2828282828E-01 +2.0000000000E-01
   42 +3.4848484848E-01 +2.0000000000E-01
   43 +3.6868686869E-01 +2.0000000000E-01
   44 +3.8888888889E-01 +2.0000000000E-01
   45 +4.0909090909E-01 +2.0000000000E-01
   46 +4.2929292929E-01 +2.0000000000E-01
   47 +4.4949494949E-01 +2.0000000000E-01
   48 +4.6969696970E-01 +2.0000000000E-01
   49 +4.8989898990E-01 +2.0000000000E-01
   50 +5.1010101010E-01 +2.0000000000E-01
   51 +5.3030303030E-01 +2.0000000000E-01
   52 +5.5050505051E-01 +2.0000000000E-01
   53 +5.7070707071E-01 +2.0000000000E-01
   54 +5.9090909091E-01 +2.0000000000E-01
   55 +6.1111111111E-01 +2.0000000000E-01
   56 +6.3131313131E-01 +2.0000000000E-01
   57 +6.5151515152E-01 +2.0000000000E-01
   58 +6.7171717172E-01 +2.0000000000E-01
   59 +6.9191919192E-01 +2.0000000000E-01
   60 +7.1212121212E-01 +2.0000000000E-01
   61 +7.3232323232E-01 +2.0000000000E-01
   62 +7.5252525253E-01 +2.0000000000E-01
   63 +7.7272727273E-01 +2.0000000000E-01
   64 +7.9292929293E-01 +2.0000000000E-01
   65 +8.1313131313E-01 +2.0000000000E-01
   66 +8.3333333333E-01 +2.0000000000E-01
   67 +8.5353535354E-01 +2.0000000000E-01
   68 +8.7373737374E-01 +2.0000000000E-01
   69 +8.9393939394E-01 +2.0000000000E-01
   70 +9.1414141414E-01 +2.0000000000E-01
   71 +9.3434343434E-01 +2.0000000000E-01
   72 +9.5454545455E-01 +2.0000000000E-01
   73 +9.7474747475E-01 +2.0000000000E-01
   74 +9.9494949495E-01 +2.0000000000E-01
   75 +1.0151515152E+00 +2.0000000000E-01
   76 +1.0353535354E+00 +2.0000000000E-01
   77 +1.0555555556E+00 +2.0000000000E-01
   78 +1.0757575758E+00 +2.0000000000E-01
   79 +1.0959595960E+00 +2.0000000000E-01
   80 +1.1161616162E+00 +2.0000000000E-01
   81 +1.1363636364E+00 +2.0000000000E-01
   82 +1.1565656566E+00 +2.0000000000E-01
   83 +1.1767676768E+00 +2.0000000000E-01
   84 +1.1969696970E+00 +2.0000000000E-01
   85 +1.2171717172E+00 +2.0000000000E-01
   86 +1.2373737374E+00 +2.0000000000E-01
   87 +1.2575757576E+00 +2.0000000000E-01
   88 +1.2777777778E+00 +2.0000000000E-01
   89 +1.2979797980E+00 +2.0000000000E-01
   90 +1.3181818182E+00 +2.0000000000E-01
   91 +1.3383838384E+00 +2.0000000000E-01
   92 +1.3585858586E+00 +2.0000000000E-01
   93 +1.3787878788E+00 +2.0000000000E-01
   94 +1.3989898990E+00 +2.0000000000E-01
   95 +1.4191919192E+00 +2.0000000000E-01
   96 +1.4393939394E+00 +2.0000000000E-01
   97 +1.4595959596E+00 +2.0000000000E-01
   98 +1.4797979798E+00 +2.0000000000E-01
   99 +1.5000000000E+00 +2.0000000000E-01
