Index eps_r             loss_t           
    0 +5.0000000000E-01 +0.0000000000E+00
    1 +5.0000000000E-01 +4.0404040404E-03
    2 +5.0000000000E-01 +8.0808080808E-03
    3 +5.0000000000E-01 +1.2121212121E-02
    4 +5.0000000000E-01 +1.6161616162E-02
    5 +5.0000000000E-01 +2.0202020202E-02
    6 +5.0000000000E-01 +2.4242424242E-02
    7 +5.0000000000E-01 +2.8282828283E-02
    8 +5.0000000000E-01 +3.2323232323E-02
    9 +5.0000000000E-01 +3.6363636364E-02
   10 +5.0000000000E-01 +4.0404040404E-02
   11 +5.0000000000E-01 +4.4444444444E-02
   12 +5.0000000000E-01 +4.8484848485E-02
   13 +5.0000000000E-01 +5.2525252525E-02
   14 +5.0000000000E-01 +5.6565656566E-02
   15 +5.0000000000E-01 +6.0606060606E-02
   16 +5.0000000000E-01 +6.4646464646E-02
   17 +5.0000000000E-01 +6.8686868687E-02
   18 +5.0000000000E-01 +7.2727272727E-02
   19 +5.0000000000E-01 +7.6767676768E-02
   20 +5.0000000000E-01 +8.0808080808E-02
   21 +5.0000000000E-01 +8.4848484848E-02
   22 +5.0000000000E-01 +8.8888888889E-02
   23 +5.0000000000E-01 +9.2929292929E-02
   24 +5.0000000000E-01 +9.6969696970E-02
   25 +5.0000000000E-01 +1.0101010101E-01
   26 +5.0000000000E-01 +1.0505050505E-01
   27 +5.0000000000E-01 +1.0909090909E-01
   28 +5.0000000000E-01 +1.1313131313E-01
   29 +5.0000000000E-01 +1.1717171717E-01
   30 +5.0000000000E-01 +1.2121212121E-01
   31 +5.0000000000E-01 +1.2525252525E-01
   32 +5.0000000000E-01 +1.2929292929E-01
   33 +5.0000000000E-01 +1.3333333333E-01
   34 +5.0000000000E-01 +1.3737373737E-01
   35 +5.0000000000E-01 +1.4141414141E-01
   36 +5.0000000000E-01 +1.4545454545E-01
   37 +5.0000000000E-01 +1.4949494949E-01
   38 +5.0000000000E-01 +1.5353535354E-01
   39 +5.0000000000E-01 +1.5757575758E-01
   40 +5.0000000000E-01 +1.6161616162E-01
   41 +5.0000000000E-01 +1.6565656566E-01
   42 +5.0000000000E-01 +1.6969696970E-01
   43 +5.0000000000E-01 +1.7373737374E-01
   44 +5.0000000000E-01 +1.7777777778E-01
   45 +5.0000000000E-01 +1.8181818182E-01
   46 +5.0000000000E-01 +1.8585858586E-01
   47 +5.0000000000E-01 +1.8989898990E-01
   48 +5.0000000000E-01 +1.9393939394E-01
   49 +5.0000000000E-01 +1.9797979798E-01
   50 +5.0000000000E-01 +2.0202020202E-01
   51 +5.0000000000E-01 +2.0606060606E-01
   52 +5.0000000000E-01 +2.1010101010E-01
   53 +5.0000000000E-01 +2.1414141414E-01
   54 +5.0000000000E-01 +2.1818181818E-01
   55 +5.0000000000E-01 +2.2222222222E-01
   56 +5.0000000000E-01 +2.2626262626E-01
   57 +5.0000000000E-01 +2.3030303030E-01
   58 +5.0000000000E-01 +2.3434343434E-01
   59 +5.0000000000E-01 +2.3838383838E-01
   60 +5.0000000000E-01 +2.4242424242E-01
   61 +5.0000000000E-01 +2.4646464646E-01
   62 +5.0000000000E-01 +2.5050505051E-01
   63 +5.0000000000E-01 +2.5454545455E-01
   64 +5.0000000000E-01 +2.5858585859E-01
   65 +5.0000000000E-01 +2.6262626263E-01
   66 +5.0000000000E-01 +2.6666666667E-01
   67 +5.0000000000E-01 +2.7070707071E-01
   68 +5.0000000000E-01 +2.7474747475E-01
   69 +5.0000000000E-01 +2.7878787879E-01
   70 +5.0000000000E-01 +2.8282828283E-01
   71 +5.0000000000E-01 +2.8686868687E-01
   72 +5.0000000000E-01 +2.9090909091E-01
   73 +5.0000000000E-01 +2.9494949495E-01
   74 +5.0000000000E-01 +2.9898989899E-01
   75 +5.0000000000E-01 +3.0303030303E-01
   76 +5.0000000000E-01 +3.0707070707E-01
   77 +5.0000000000E-01 +3.1111111111E-01
   78 +5.0000000000E-01 +3.1515151515E-01
   79 +5.0000000000E-01 +3.1919191919E-01
   80 +5.0000000000E-01 +3.2323232323E-01
   81 +5.0000000000E-01 +3.2727272727E-01
   82 +5.0000000000E-01 +3.3131313131E-01
   83 +5.0000000000E-01 +3.3535353535E-01
   84 +5.0000000000E-01 +3.3939393939E-01
   85 +5.0000000000E-01 +3.4343434343E-01
   86 +5.0000000000E-01 +3.4747474747E-01
   87 +5.0000000000E-01 +3.5151515152E-01
   88 +5.0000000000E-01 +3.5555555556E-01
   89 +5.0000000000E-01 +3.5959595960E-01
   90 +5.0000000000E-01 +3.6363636364E-01
   91 +5.0000000000E-01 +3.6767676768E-01
   92 +5.0000000000E-01 +3.7171717172E-01
   93 +5.0000000000E-01 +3.7575757576E-01
   94 +5.0000000000E-01 +3.7979797980E-01
   95 +5.0000000000E-01 +3.8383838384E-01
   96 +5.0000000000E-01 +3.8787878788E-01
   97 +5.0000000000E-01 +3.9191919192E-01
   98 +5.0000000000E-01 +3.9595959596E-01
   99 +5.0000000000E-01 +4.0000000000E-01
