Index coax_placement_x  coax_placement_y  substrate_permittivity
    0 -2.0000000000E+00 +7.0000000000E+00 +3.0000000000E+00     
    1 -1.9595959596E+00 +7.0000000000E+00 +3.0000000000E+00     
    2 -1.9191919192E+00 +7.0000000000E+00 +3.0000000000E+00     
    3 -1.8787878788E+00 +7.0000000000E+00 +3.0000000000E+00     
    4 -1.8383838384E+00 +7.0000000000E+00 +3.0000000000E+00     
    5 -1.7979797980E+00 +7.0000000000E+00 +3.0000000000E+00     
    6 -1.7575757576E+00 +7.0000000000E+00 +3.0000000000E+00     
    7 -1.7171717172E+00 +7.0000000000E+00 +3.0000000000E+00     
    8 -1.6767676768E+00 +7.0000000000E+00 +3.0000000000E+00     
    9 -1.6363636364E+00 +7.0000000000E+00 +3.0000000000E+00     
   10 -1.5959595960E+00 +7.0000000000E+00 +3.0000000000E+00     
   11 -1.5555555556E+00 +7.0000000000E+00 +3.0000000000E+00     
   12 -1.5151515152E+00 +7.0000000000E+00 +3.0000000000E+00     
   13 -1.4747474747E+00 +7.0000000000E+00 +3.0000000000E+00     
   14 -1.4343434343E+00 +7.0000000000E+00 +3.0000000000E+00     
   15 -1.3939393939E+00 +7.0000000000E+00 +3.0000000000E+00     
   16 -1.3535353535E+00 +7.0000000000E+00 +3.0000000000E+00     
   17 -1.3131313131E+00 +7.0000000000E+00 +3.0000000000E+00     
   18 -1.2727272727E+00 +7.0000000000E+00 +3.0000000000E+00     
   19 -1.2323232323E+00 +7.0000000000E+00 +3.0000000000E+00     
   20 -1.1919191919E+00 +7.0000000000E+00 +3.0000000000E+00     
   21 -1.1515151515E+00 +7.0000000000E+00 +3.0000000000E+00     
   22 -1.1111111111E+00 +7.0000000000E+00 +3.0000000000E+00     
   23 -1.0707070707E+00 +7.0000000000E+00 +3.0000000000E+00     
   24 -1.0303030303E+00 +7.0000000000E+00 +3.0000000000E+00     
   25 -9.8989898990E-01 +7.0000000000E+00 +3.0000000000E+00     
   26 -9.4949494949E-01 +7.0000000000E+00 +3.0000000000E+00     
   27 -9.0909090909E-01 +7.0000000000E+00 +3.0000000000E+00     
   28 -8.6868686869E-01 +7.0000000000E+00 +3.0000000000E+00     
   29 -8.2828282828E-01 +7.0000000000E+00 +3.0000000000E+00     
   30 -7.8787878788E-01 +7.0000000000E+00 +3.0000000000E+00     
   31 -7.4747474747E-01 +7.0000000000E+00 +3.0000000000E+00     
   32 -7.0707070707E-01 +7.0000000000E+00 +3.0000000000E+00     
   33 -6.6666666667E-01 +7.0000000000E+00 +3.0000000000E+00     
   34 -6.2626262626E-01 +7.0000000000E+00 +3.0000000000E+00     
   35 -5.8585858586E-01 +7.0000000000E+00 +3.0000000000E+00     
   36 -5.4545454545E-01 +7.0000000000E+00 +3.0000000000E+00     
   37 -5.0505050505E-01 +7.0000000000E+00 +3.0000000000E+00     
   38 -4.6464646465E-01 +7.0000000000E+00 +3.0000000000E+00     
   39 -4.2424242424E-01 +7.0000000000E+00 +3.0000000000E+00     
   40 -3.8383838384E-01 +7.0000000000E+00 +3.0000000000E+00     
   41 -3.4343434343E-01 +7.0000000000E+00 +3.0000000000E+00     
   42 -3.0303030303E-01 +7.0000000000E+00 +3.0000000000E+00     
   43 -2.6262626263E-01 +7.0000000000E+00 +3.0000000000E+00     
   44 -2.2222222222E-01 +7.0000000000E+00 +3.0000000000E+00     
   45 -1.8181818182E-01 +7.0000000000E+00 +3.0000000000E+00     
   46 -1.4141414141E-01 +7.0000000000E+00 +3.0000000000E+00     
   47 -1.0101010101E-01 +7.0000000000E+00 +3.0000000000E+00     
   48 -6.0606060606E-02 +7.0000000000E+00 +3.0000000000E+00     
   49 -2.0202020202E-02 +7.0000000000E+00 +3.0000000000E+00     
   50 +2.0202020202E-02 +7.0000000000E+00 +3.0000000000E+00     
   51 +6.0606060606E-02 +7.0000000000E+00 +3.0000000000E+00     
   52 +1.0101010101E-01 +7.0000000000E+00 +3.0000000000E+00     
   53 +1.4141414141E-01 +7.0000000000E+00 +3.0000000000E+00     
   54 +1.8181818182E-01 +7.0000000000E+00 +3.0000000000E+00     
   55 +2.2222222222E-01 +7.0000000000E+00 +3.0000000000E+00     
   56 +2.6262626263E-01 +7.0000000000E+00 +3.0000000000E+00     
   57 +3.0303030303E-01 +7.0000000000E+00 +3.0000000000E+00     
   58 +3.4343434343E-01 +7.0000000000E+00 +3.0000000000E+00     
   59 +3.8383838384E-01 +7.0000000000E+00 +3.0000000000E+00     
   60 +4.2424242424E-01 +7.0000000000E+00 +3.0000000000E+00     
   61 +4.6464646465E-01 +7.0000000000E+00 +3.0000000000E+00     
   62 +5.0505050505E-01 +7.0000000000E+00 +3.0000000000E+00     
   63 +5.4545454545E-01 +7.0000000000E+00 +3.0000000000E+00     
   64 +5.8585858586E-01 +7.0000000000E+00 +3.0000000000E+00     
   65 +6.2626262626E-01 +7.0000000000E+00 +3.0000000000E+00     
   66 +6.6666666667E-01 +7.0000000000E+00 +3.0000000000E+00     
   67 +7.0707070707E-01 +7.0000000000E+00 +3.0000000000E+00     
   68 +7.4747474747E-01 +7.0000000000E+00 +3.0000000000E+00     
   69 +7.8787878788E-01 +7.0000000000E+00 +3.0000000000E+00     
   70 +8.2828282828E-01 +7.0000000000E+00 +3.0000000000E+00     
   71 +8.6868686869E-01 +7.0000000000E+00 +3.0000000000E+00     
   72 +9.0909090909E-01 +7.0000000000E+00 +3.0000000000E+00     
   73 +9.4949494949E-01 +7.0000000000E+00 +3.0000000000E+00     
   74 +9.8989898990E-01 +7.0000000000E+00 +3.0000000000E+00     
   75 +1.0303030303E+00 +7.0000000000E+00 +3.0000000000E+00     
   76 +1.0707070707E+00 +7.0000000000E+00 +3.0000000000E+00     
   77 +1.1111111111E+00 +7.0000000000E+00 +3.0000000000E+00     
   78 +1.1515151515E+00 +7.0000000000E+00 +3.0000000000E+00     
   79 +1.1919191919E+00 +7.0000000000E+00 +3.0000000000E+00     
   80 +1.2323232323E+00 +7.0000000000E+00 +3.0000000000E+00     
   81 +1.2727272727E+00 +7.0000000000E+00 +3.0000000000E+00     
   82 +1.3131313131E+00 +7.0000000000E+00 +3.0000000000E+00     
   83 +1.3535353535E+00 +7.0000000000E+00 +3.0000000000E+00     
   84 +1.3939393939E+00 +7.0000000000E+00 +3.0000000000E+00     
   85 +1.4343434343E+00 +7.0000000000E+00 +3.0000000000E+00     
   86 +1.4747474747E+00 +7.0000000000E+00 +3.0000000000E+00     
   87 +1.5151515152E+00 +7.0000000000E+00 +3.0000000000E+00     
   88 +1.5555555556E+00 +7.0000000000E+00 +3.0000000000E+00     
   89 +1.5959595960E+00 +7.0000000000E+00 +3.0000000000E+00     
