Index coax_placement_x  coax_placement_y  substrate_permittivity
    0 +0.0000000000E+00 +5.0000000000E+00 +3.0000000000E+00     
    1 +0.0000000000E+00 +5.0404040404E+00 +3.0000000000E+00     
    2 +0.0000000000E+00 +5.0808080808E+00 +3.0000000000E+00     
    3 +0.0000000000E+00 +5.1212121212E+00 +3.0000000000E+00     
    4 +0.0000000000E+00 +5.1616161616E+00 +3.0000000000E+00     
    5 +0.0000000000E+00 +5.2020202020E+00 +3.0000000000E+00     
    6 +0.0000000000E+00 +5.2424242424E+00 +3.0000000000E+00     
    7 +0.0000000000E+00 +5.2828282828E+00 +3.0000000000E+00     
    8 +0.0000000000E+00 +5.3232323232E+00 +3.0000000000E+00     
    9 +0.0000000000E+00 +5.3636363636E+00 +3.0000000000E+00     
   10 +0.0000000000E+00 +5.4040404040E+00 +3.0000000000E+00     
   11 +0.0000000000E+00 +5.4444444444E+00 +3.0000000000E+00     
   12 +0.0000000000E+00 +5.4848484848E+00 +3.0000000000E+00     
   13 +0.0000000000E+00 +5.5252525253E+00 +3.0000000000E+00     
   14 +0.0000000000E+00 +5.5656565657E+00 +3.0000000000E+00     
   15 +0.0000000000E+00 +5.6060606061E+00 +3.0000000000E+00     
   16 +0.0000000000E+00 +5.6464646465E+00 +3.0000000000E+00     
   17 +0.0000000000E+00 +5.6868686869E+00 +3.0000000000E+00     
   18 +0.0000000000E+00 +5.7272727273E+00 +3.0000000000E+00     
   19 +0.0000000000E+00 +5.7676767677E+00 +3.0000000000E+00     
   20 +0.0000000000E+00 +5.8080808081E+00 +3.0000000000E+00     
   21 +0.0000000000E+00 +5.8484848485E+00 +3.0000000000E+00     
   22 +0.0000000000E+00 +5.8888888889E+00 +3.0000000000E+00     
   23 +0.0000000000E+00 +5.9292929293E+00 +3.0000000000E+00     
   24 +0.0000000000E+00 +5.9696969697E+00 +3.0000000000E+00     
   25 +0.0000000000E+00 +6.0101010101E+00 +3.0000000000E+00     
   26 +0.0000000000E+00 +6.0505050505E+00 +3.0000000000E+00     
   27 +0.0000000000E+00 +6.0909090909E+00 +3.0000000000E+00     
   28 +0.0000000000E+00 +6.1313131313E+00 +3.0000000000E+00     
   29 +0.0000000000E+00 +6.1717171717E+00 +3.0000000000E+00     
   30 +0.0000000000E+00 +6.2121212121E+00 +3.0000000000E+00     
   31 +0.0000000000E+00 +6.2525252525E+00 +3.0000000000E+00     
   32 +0.0000000000E+00 +6.2929292929E+00 +3.0000000000E+00     
   33 +0.0000000000E+00 +6.3333333333E+00 +3.0000000000E+00     
   34 +0.0000000000E+00 +6.3737373737E+00 +3.0000000000E+00     
   35 +0.0000000000E+00 +6.4141414141E+00 +3.0000000000E+00     
   36 +0.0000000000E+00 +6.4545454545E+00 +3.0000000000E+00     
   37 +0.0000000000E+00 +6.4949494949E+00 +3.0000000000E+00     
   38 +0.0000000000E+00 +6.5353535354E+00 +3.0000000000E+00     
   39 +0.0000000000E+00 +6.5757575758E+00 +3.0000000000E+00     
   40 +0.0000000000E+00 +6.6161616162E+00 +3.0000000000E+00     
   41 +0.0000000000E+00 +6.6565656566E+00 +3.0000000000E+00     
   42 +0.0000000000E+00 +6.6969696970E+00 +3.0000000000E+00     
   43 +0.0000000000E+00 +6.7373737374E+00 +3.0000000000E+00     
   44 +0.0000000000E+00 +6.7777777778E+00 +3.0000000000E+00     
   45 +0.0000000000E+00 +6.8181818182E+00 +3.0000000000E+00     
   46 +0.0000000000E+00 +6.8585858586E+00 +3.0000000000E+00     
   47 +0.0000000000E+00 +6.8989898990E+00 +3.0000000000E+00     
   48 +0.0000000000E+00 +6.9393939394E+00 +3.0000000000E+00     
   49 +0.0000000000E+00 +6.9797979798E+00 +3.0000000000E+00     
   50 +0.0000000000E+00 +7.0202020202E+00 +3.0000000000E+00     
   51 +0.0000000000E+00 +7.0606060606E+00 +3.0000000000E+00     
   52 +0.0000000000E+00 +7.1010101010E+00 +3.0000000000E+00     
   53 +0.0000000000E+00 +7.1414141414E+00 +3.0000000000E+00     
   54 +0.0000000000E+00 +7.1818181818E+00 +3.0000000000E+00     
   55 +0.0000000000E+00 +7.2222222222E+00 +3.0000000000E+00     
   56 +0.0000000000E+00 +7.2626262626E+00 +3.0000000000E+00     
   57 +0.0000000000E+00 +7.3030303030E+00 +3.0000000000E+00     
   58 +0.0000000000E+00 +7.3434343434E+00 +3.0000000000E+00     
   59 +0.0000000000E+00 +7.3838383838E+00 +3.0000000000E+00     
   60 +0.0000000000E+00 +7.4242424242E+00 +3.0000000000E+00     
   61 +0.0000000000E+00 +7.4646464646E+00 +3.0000000000E+00     
   62 +0.0000000000E+00 +7.5050505051E+00 +3.0000000000E+00     
   63 +0.0000000000E+00 +7.5454545455E+00 +3.0000000000E+00     
   64 +0.0000000000E+00 +7.5858585859E+00 +3.0000000000E+00     
   65 +0.0000000000E+00 +7.6262626263E+00 +3.0000000000E+00     
   66 +0.0000000000E+00 +7.6666666667E+00 +3.0000000000E+00     
   67 +0.0000000000E+00 +7.7070707071E+00 +3.0000000000E+00     
   68 +0.0000000000E+00 +7.7474747475E+00 +3.0000000000E+00     
   69 +0.0000000000E+00 +7.7878787879E+00 +3.0000000000E+00     
   70 +0.0000000000E+00 +7.8282828283E+00 +3.0000000000E+00     
   71 +0.0000000000E+00 +7.8686868687E+00 +3.0000000000E+00     
   72 +0.0000000000E+00 +7.9090909091E+00 +3.0000000000E+00     
   73 +0.0000000000E+00 +7.9494949495E+00 +3.0000000000E+00     
   74 +0.0000000000E+00 +7.9898989899E+00 +3.0000000000E+00     
   75 +0.0000000000E+00 +8.0303030303E+00 +3.0000000000E+00     
   76 +0.0000000000E+00 +8.0707070707E+00 +3.0000000000E+00     
   77 +0.0000000000E+00 +8.1111111111E+00 +3.0000000000E+00     
   78 +0.0000000000E+00 +8.1515151515E+00 +3.0000000000E+00     
   79 +0.0000000000E+00 +8.1919191919E+00 +3.0000000000E+00     
   80 +0.0000000000E+00 +8.2323232323E+00 +3.0000000000E+00     
   81 +0.0000000000E+00 +8.2727272727E+00 +3.0000000000E+00     
   82 +0.0000000000E+00 +8.3131313131E+00 +3.0000000000E+00     
   83 +0.0000000000E+00 +8.3535353535E+00 +3.0000000000E+00     
