Index coax_placement_x  coax_placement_y  substrate_permittivity
    0 +0.0000000000E+00 +7.0000000000E+00 +2.9000000000E+00     
    1 +0.0000000000E+00 +7.0000000000E+00 +2.9020202020E+00     
    2 +0.0000000000E+00 +7.0000000000E+00 +2.9040404040E+00     
    3 +0.0000000000E+00 +7.0000000000E+00 +2.9060606061E+00     
    4 +0.0000000000E+00 +7.0000000000E+00 +2.9080808081E+00     
    5 +0.0000000000E+00 +7.0000000000E+00 +2.9101010101E+00     
    6 +0.0000000000E+00 +7.0000000000E+00 +2.9121212121E+00     
    7 +0.0000000000E+00 +7.0000000000E+00 +2.9141414141E+00     
    8 +0.0000000000E+00 +7.0000000000E+00 +2.9161616162E+00     
    9 +0.0000000000E+00 +7.0000000000E+00 +2.9181818182E+00     
   10 +0.0000000000E+00 +7.0000000000E+00 +2.9202020202E+00     
   11 +0.0000000000E+00 +7.0000000000E+00 +2.9222222222E+00     
   12 +0.0000000000E+00 +7.0000000000E+00 +2.9242424242E+00     
   13 +0.0000000000E+00 +7.0000000000E+00 +2.9262626263E+00     
   14 +0.0000000000E+00 +7.0000000000E+00 +2.9282828283E+00     
   15 +0.0000000000E+00 +7.0000000000E+00 +2.9303030303E+00     
   16 +0.0000000000E+00 +7.0000000000E+00 +2.9323232323E+00     
   17 +0.0000000000E+00 +7.0000000000E+00 +2.9343434343E+00     
   18 +0.0000000000E+00 +7.0000000000E+00 +2.9363636364E+00     
   19 +0.0000000000E+00 +7.0000000000E+00 +2.9383838384E+00     
   20 +0.0000000000E+00 +7.0000000000E+00 +2.9404040404E+00     
   21 +0.0000000000E+00 +7.0000000000E+00 +2.9424242424E+00     
   22 +0.0000000000E+00 +7.0000000000E+00 +2.9444444444E+00     
   23 +0.0000000000E+00 +7.0000000000E+00 +2.9464646465E+00     
   24 +0.0000000000E+00 +7.0000000000E+00 +2.9484848485E+00     
   25 +0.0000000000E+00 +7.0000000000E+00 +2.9505050505E+00     
   26 +0.0000000000E+00 +7.0000000000E+00 +2.9525252525E+00     
   27 +0.0000000000E+00 +7.0000000000E+00 +2.9545454545E+00     
   28 +0.0000000000E+00 +7.0000000000E+00 +2.9565656566E+00     
   29 +0.0000000000E+00 +7.0000000000E+00 +2.9585858586E+00     
   30 +0.0000000000E+00 +7.0000000000E+00 +2.9606060606E+00     
   31 +0.0000000000E+00 +7.0000000000E+00 +2.9626262626E+00     
   32 +0.0000000000E+00 +7.0000000000E+00 +2.9646464646E+00     
   33 +0.0000000000E+00 +7.0000000000E+00 +2.9666666667E+00     
   34 +0.0000000000E+00 +7.0000000000E+00 +2.9686868687E+00     
   35 +0.0000000000E+00 +7.0000000000E+00 +2.9707070707E+00     
   36 +0.0000000000E+00 +7.0000000000E+00 +2.9727272727E+00     
   37 +0.0000000000E+00 +7.0000000000E+00 +2.9747474747E+00     
   38 +0.0000000000E+00 +7.0000000000E+00 +2.9767676768E+00     
   39 +0.0000000000E+00 +7.0000000000E+00 +2.9787878788E+00     
   40 +0.0000000000E+00 +7.0000000000E+00 +2.9808080808E+00     
   41 +0.0000000000E+00 +7.0000000000E+00 +2.9828282828E+00     
   42 +0.0000000000E+00 +7.0000000000E+00 +2.9848484848E+00     
   43 +0.0000000000E+00 +7.0000000000E+00 +2.9868686869E+00     
   44 +0.0000000000E+00 +7.0000000000E+00 +2.9888888889E+00     
   45 +0.0000000000E+00 +7.0000000000E+00 +2.9909090909E+00     
   46 +0.0000000000E+00 +7.0000000000E+00 +2.9929292929E+00     
   47 +0.0000000000E+00 +7.0000000000E+00 +2.9949494949E+00     
   48 +0.0000000000E+00 +7.0000000000E+00 +2.9969696970E+00     
   49 +0.0000000000E+00 +7.0000000000E+00 +2.9989898990E+00     
   50 +0.0000000000E+00 +7.0000000000E+00 +3.0010101010E+00     
   51 +0.0000000000E+00 +7.0000000000E+00 +3.0030303030E+00     
   52 +0.0000000000E+00 +7.0000000000E+00 +3.0050505051E+00     
   53 +0.0000000000E+00 +7.0000000000E+00 +3.0070707071E+00     
   54 +0.0000000000E+00 +7.0000000000E+00 +3.0090909091E+00     
   55 +0.0000000000E+00 +7.0000000000E+00 +3.0111111111E+00     
   56 +0.0000000000E+00 +7.0000000000E+00 +3.0131313131E+00     
   57 +0.0000000000E+00 +7.0000000000E+00 +3.0151515152E+00     
   58 +0.0000000000E+00 +7.0000000000E+00 +3.0171717172E+00     
   59 +0.0000000000E+00 +7.0000000000E+00 +3.0191919192E+00     
   60 +0.0000000000E+00 +7.0000000000E+00 +3.0212121212E+00     
   61 +0.0000000000E+00 +7.0000000000E+00 +3.0232323232E+00     
   62 +0.0000000000E+00 +7.0000000000E+00 +3.0252525253E+00     
   63 +0.0000000000E+00 +7.0000000000E+00 +3.0272727273E+00     
   64 +0.0000000000E+00 +7.0000000000E+00 +3.0292929293E+00     
   65 +0.0000000000E+00 +7.0000000000E+00 +3.0313131313E+00     
   66 +0.0000000000E+00 +7.0000000000E+00 +3.0333333333E+00     
   67 +0.0000000000E+00 +7.0000000000E+00 +3.0353535354E+00     
   68 +0.0000000000E+00 +7.0000000000E+00 +3.0373737374E+00     
   69 +0.0000000000E+00 +7.0000000000E+00 +3.0393939394E+00     
   70 +0.0000000000E+00 +7.0000000000E+00 +3.0414141414E+00     
   71 +0.0000000000E+00 +7.0000000000E+00 +3.0434343434E+00     
   72 +0.0000000000E+00 +7.0000000000E+00 +3.0454545455E+00     
   73 +0.0000000000E+00 +7.0000000000E+00 +3.0474747475E+00     
   74 +0.0000000000E+00 +7.0000000000E+00 +3.0494949495E+00     
   75 +0.0000000000E+00 +7.0000000000E+00 +3.0515151515E+00     
   76 +0.0000000000E+00 +7.0000000000E+00 +3.0535353535E+00     
   77 +0.0000000000E+00 +7.0000000000E+00 +3.0555555556E+00     
   78 +0.0000000000E+00 +7.0000000000E+00 +3.0575757576E+00     
   79 +0.0000000000E+00 +7.0000000000E+00 +3.0595959596E+00     
   80 +0.0000000000E+00 +7.0000000000E+00 +3.0616161616E+00     
   81 +0.0000000000E+00 +7.0000000000E+00 +3.0636363636E+00     
   82 +0.0000000000E+00 +7.0000000000E+00 +3.0656565657E+00     
   83 +0.0000000000E+00 +7.0000000000E+00 +3.0676767677E+00     
   84 +0.0000000000E+00 +7.0000000000E+00 +3.0696969697E+00     
   85 +0.0000000000E+00 +7.0000000000E+00 +3.0717171717E+00     
   86 +0.0000000000E+00 +7.0000000000E+00 +3.0737373737E+00     
   87 +0.0000000000E+00 +7.0000000000E+00 +3.0757575758E+00     
   88 +0.0000000000E+00 +7.0000000000E+00 +3.0777777778E+00     
   89 +0.0000000000E+00 +7.0000000000E+00 +3.0797979798E+00     
   90 +0.0000000000E+00 +7.0000000000E+00 +3.0818181818E+00     
   91 +0.0000000000E+00 +7.0000000000E+00 +3.0838383838E+00     
   92 +0.0000000000E+00 +7.0000000000E+00 +3.0858585859E+00     
   93 +0.0000000000E+00 +7.0000000000E+00 +3.0878787879E+00     
   94 +0.0000000000E+00 +7.0000000000E+00 +3.0898989899E+00     
   95 +0.0000000000E+00 +7.0000000000E+00 +3.0919191919E+00     
   96 +0.0000000000E+00 +7.0000000000E+00 +3.0939393939E+00     
   97 +0.0000000000E+00 +7.0000000000E+00 +3.0959595960E+00     
   98 +0.0000000000E+00 +7.0000000000E+00 +3.0979797980E+00     
   99 +0.0000000000E+00 +7.0000000000E+00 +3.1000000000E+00     
