Index a_A_1             c_A_2             e_A_3             g_A_4             i_A_5             b_phi_1           d_phi_2           f_phi_3           h_phi_4           j_phi_5          
    0 -2.6852746999E+01 -2.8585313664E+01 -3.0794089020E+00 -6.2408305305E+00 -1.0610277272E+01 +2.7044826508E+02 +3.0902850304E+02 +2.2448169085E+02 +3.3618604406E+02 +1.9356066562E+02
    1 -2.0439337255E+01 -2.8435300867E+01 -2.5448411357E+00 -2.1689830953E+01 -1.6323433745E+01 +1.6519361400E+02 +4.4867416400E+01 +1.7767042078E+02 +7.0854877177E+01 +7.6851481271E+01
    2 -2.3796548087E+01 -5.9574782670E+00 -2.8016536732E+01 -1.9643042340E+01 -4.4473293967E+00 +1.6136044512E+02 +8.9645991889E+01 +1.6241396114E+02 +4.9979583779E+01 +1.2838961836E+02
    3 -1.8160582869E+01 -1.5814973269E+01 -1.6376460159E+01 -3.4865399726E+00 -1.8632848591E+01 +7.4559974498E+01 +1.1556780925E+02 +3.1741425858E+02 +3.5126714008E+02 +1.3816935468E+02
    4 -1.6501634639E+01 -2.2875578123E+01 -1.3073740268E+01 -2.0971968973E+01 -1.4738055443E+01 +2.1241911964E+02 +5.4251027091E+01 +8.0368707011E+01 +1.8770274271E+02 +4.9260787543E-01
    5 -6.8052546469E+00 -2.4516689008E+01 -2.3047231869E+01 -5.9080879899E+00 -3.6019272877E+00 +8.6487431463E+01 +6.6315098023E+01 +2.9089296431E+02 +4.0267491733E+01 +7.2450583146E+01
    6 -1.6734626387E+01 -6.4347986163E+00 -2.1106941286E+01 -1.0743072090E+01 -6.4154400866E+00 +1.5795244656E+02 +3.4406920557E+01 +2.9098918635E+02 +2.0273296724E+02 +2.0011373005E+01
    7 -2.2305306244E+01 -1.8560869070E+01 -1.4399188386E+01 -9.9667451133E+00 -2.1512081352E+00 +1.3438559738E+01 +8.5098671666E+00 +3.0274181565E+02 +3.4316145275E+02 +3.1760958552E+02
    8 -1.3795172061E+01 -2.8730362045E+01 -1.9545899734E+01 -2.5139058826E+01 -2.3506955217E+01 +5.6718260725E+01 +2.5408817859E+02 +1.5022683461E+02 +2.2729953108E+01 +2.1553422571E+02
    9 -2.7969322105E+01 -8.6263435111E+00 -2.5297940885E+01 -2.0025804829E+01 -2.4422706579E+01 +3.0852950032E+02 +1.6225627996E+02 +2.2548081227E+02 +7.5702159067E+01 +6.8576022798E+01
