Index coax_placement_x  coax_placement_y  substrate_permittivity
    0 -2.0000000000E+00 +5.0000000000E+00 +2.9000000000E+00     
    1 -2.0000000000E+00 +5.2857142857E+00 +2.9000000000E+00     
    2 -2.0000000000E+00 +5.5714285714E+00 +2.9000000000E+00     
    3 -2.0000000000E+00 +5.8571428571E+00 +2.9000000000E+00     
    4 -2.0000000000E+00 +6.1428571429E+00 +2.9000000000E+00     
    5 -2.0000000000E+00 +6.4285714286E+00 +2.9000000000E+00     
    6 -2.0000000000E+00 +6.7142857143E+00 +2.9000000000E+00     
    7 -2.0000000000E+00 +7.0000000000E+00 +2.9000000000E+00     
    8 -2.0000000000E+00 +7.2857142857E+00 +2.9000000000E+00     
    9 -2.0000000000E+00 +7.5714285714E+00 +2.9000000000E+00     
   10 -2.0000000000E+00 +7.8571428571E+00 +2.9000000000E+00     
   11 -2.0000000000E+00 +8.1428571429E+00 +2.9000000000E+00     
   12 -2.0000000000E+00 +8.4285714286E+00 +2.9000000000E+00     
   13 -2.0000000000E+00 +8.7142857143E+00 +2.9000000000E+00     
   14 -2.0000000000E+00 +9.0000000000E+00 +2.9000000000E+00     
   15 -1.7142857143E+00 +5.0000000000E+00 +2.9000000000E+00     
   16 -1.7142857143E+00 +5.2857142857E+00 +2.9000000000E+00     
   17 -1.7142857143E+00 +5.5714285714E+00 +2.9000000000E+00     
   18 -1.7142857143E+00 +5.8571428571E+00 +2.9000000000E+00     
   19 -1.7142857143E+00 +6.1428571429E+00 +2.9000000000E+00     
   20 -1.7142857143E+00 +6.4285714286E+00 +2.9000000000E+00     
   21 -1.7142857143E+00 +6.7142857143E+00 +2.9000000000E+00     
   22 -1.7142857143E+00 +7.0000000000E+00 +2.9000000000E+00     
   23 -1.7142857143E+00 +7.2857142857E+00 +2.9000000000E+00     
   24 -1.7142857143E+00 +7.5714285714E+00 +2.9000000000E+00     
   25 -1.7142857143E+00 +7.8571428571E+00 +2.9000000000E+00     
   26 -1.7142857143E+00 +8.1428571429E+00 +2.9000000000E+00     
   27 -1.7142857143E+00 +8.4285714286E+00 +2.9000000000E+00     
   28 -1.7142857143E+00 +8.7142857143E+00 +2.9000000000E+00     
   29 -1.7142857143E+00 +9.0000000000E+00 +2.9000000000E+00     
   30 -1.4285714286E+00 +5.0000000000E+00 +2.9000000000E+00     
   31 -1.4285714286E+00 +5.2857142857E+00 +2.9000000000E+00     
   32 -1.4285714286E+00 +5.5714285714E+00 +2.9000000000E+00     
   33 -1.4285714286E+00 +5.8571428571E+00 +2.9000000000E+00     
   34 -1.4285714286E+00 +6.1428571429E+00 +2.9000000000E+00     
   35 -1.4285714286E+00 +6.4285714286E+00 +2.9000000000E+00     
   36 -1.4285714286E+00 +6.7142857143E+00 +2.9000000000E+00     
   37 -1.4285714286E+00 +7.0000000000E+00 +2.9000000000E+00     
   38 -1.4285714286E+00 +7.2857142857E+00 +2.9000000000E+00     
   39 -1.4285714286E+00 +7.5714285714E+00 +2.9000000000E+00     
   40 -1.4285714286E+00 +7.8571428571E+00 +2.9000000000E+00     
   41 -1.4285714286E+00 +8.1428571429E+00 +2.9000000000E+00     
   42 -1.4285714286E+00 +8.4285714286E+00 +2.9000000000E+00     
   43 -1.4285714286E+00 +8.7142857143E+00 +2.9000000000E+00     
   44 -1.4285714286E+00 +9.0000000000E+00 +2.9000000000E+00     
   45 -1.1428571429E+00 +5.0000000000E+00 +2.9000000000E+00     
   46 -1.1428571429E+00 +5.2857142857E+00 +2.9000000000E+00     
   47 -1.1428571429E+00 +5.5714285714E+00 +2.9000000000E+00     
   48 -1.1428571429E+00 +5.8571428571E+00 +2.9000000000E+00     
   49 -1.1428571429E+00 +6.1428571429E+00 +2.9000000000E+00     
   50 -1.1428571429E+00 +6.4285714286E+00 +2.9000000000E+00     
   51 -1.1428571429E+00 +6.7142857143E+00 +2.9000000000E+00     
   52 -1.1428571429E+00 +7.0000000000E+00 +2.9000000000E+00     
   53 -1.1428571429E+00 +7.2857142857E+00 +2.9000000000E+00     
   54 -1.1428571429E+00 +7.5714285714E+00 +2.9000000000E+00     
   55 -1.1428571429E+00 +7.8571428571E+00 +2.9000000000E+00     
   56 -1.1428571429E+00 +8.1428571429E+00 +2.9000000000E+00     
   57 -1.1428571429E+00 +8.4285714286E+00 +2.9000000000E+00     
   58 -1.1428571429E+00 +8.7142857143E+00 +2.9000000000E+00     
   59 -1.1428571429E+00 +9.0000000000E+00 +2.9000000000E+00     
   60 -8.5714285714E-01 +5.0000000000E+00 +2.9000000000E+00     
   61 -8.5714285714E-01 +5.2857142857E+00 +2.9000000000E+00     
   62 -8.5714285714E-01 +5.5714285714E+00 +2.9000000000E+00     
   63 -8.5714285714E-01 +5.8571428571E+00 +2.9000000000E+00     
   64 -8.5714285714E-01 +6.1428571429E+00 +2.9000000000E+00     
   65 -8.5714285714E-01 +6.4285714286E+00 +2.9000000000E+00     
   66 -8.5714285714E-01 +6.7142857143E+00 +2.9000000000E+00     
   67 -8.5714285714E-01 +7.0000000000E+00 +2.9000000000E+00     
   68 -8.5714285714E-01 +7.2857142857E+00 +2.9000000000E+00     
   69 -8.5714285714E-01 +7.5714285714E+00 +2.9000000000E+00     
   70 -8.5714285714E-01 +7.8571428571E+00 +2.9000000000E+00     
   71 -8.5714285714E-01 +8.1428571429E+00 +2.9000000000E+00     
   72 -8.5714285714E-01 +8.4285714286E+00 +2.9000000000E+00     
   73 -8.5714285714E-01 +8.7142857143E+00 +2.9000000000E+00     
